bo_id,bol_id,placed,expected_delivery_date,expected_delivery_date,webshop_product_id,supplier_id
2558903,71768345,2025-04-18 00:00:02,2025-05-08 00:00:02,2025-05-08 00:00:02,28666283,778479
2559933,71769375,2025-08-12 00:00:02,2025-09-02 00:00:02,2025-09-02 00:00:02,28666304,778478
2559201,71768643,2025-11-23 00:00:02,2025-12-23 00:00:02,2025-12-23 00:00:02,28666290,778476
2558904,71768346,2025-05-12 00:00:02,2025-06-01 00:00:02,2025-06-01 00:00:02,28666283,778479
2558905,71768347,2025-06-05 00:00:02,2025-06-25 00:00:02,2025-06-25 00:00:02,28666283,778479
2558906,71768348,2025-06-19 00:00:02,2025-07-09 00:00:02,2025-07-09 00:00:02,28666283,778479
2559567,71769009,2025-06-15 00:00:02,2025-07-15 00:00:02,2025-07-15 00:00:02,28666295,778476
2559934,71769376,2025-08-13 00:00:02,2025-09-03 00:00:02,2025-09-03 00:00:02,28666304,778478
2559935,71769377,2025-08-14 00:00:02,2025-09-04 00:00:02,2025-09-04 00:00:02,28666304,778478
2558907,71768349,2025-06-30 00:00:02,2025-07-20 00:00:02,2025-07-20 00:00:02,28666283,778479
2558908,71768350,2025-07-01 00:00:02,2025-07-21 00:00:02,2025-07-21 00:00:02,28666283,778479
2559936,71769378,2025-08-15 00:00:02,2025-09-05 00:00:02,2025-09-05 00:00:02,28666304,778478
2559937,71769379,2025-08-16 00:00:02,2025-09-06 00:00:02,2025-09-06 00:00:02,28666304,778478
2559938,71769380,2025-08-17 00:00:02,2025-09-07 00:00:02,2025-09-07 00:00:02,28666304,778478
2559939,71769381,2025-08-18 00:00:02,2025-09-08 00:00:02,2025-09-08 00:00:02,28666304,778478
2559940,71769382,2025-08-19 00:00:02,2025-09-09 00:00:02,2025-09-09 00:00:02,28666304,778478
2559941,71769383,2025-09-15 00:00:02,2025-10-06 00:00:02,2025-10-06 00:00:02,28666304,778478
2559942,71769384,2025-09-16 00:00:02,2025-10-07 00:00:02,2025-10-07 00:00:02,28666304,778478
2559943,71769385,2025-09-17 00:00:02,2025-10-08 00:00:02,2025-10-08 00:00:02,28666304,778478
2559944,71769386,2025-09-18 00:00:02,2025-10-09 00:00:02,2025-10-09 00:00:02,28666304,778478
2559202,71768644,2025-11-24 00:00:02,2025-12-24 00:00:02,2025-12-24 00:00:02,28666290,778476
2559568,71769010,2025-06-16 00:00:02,2025-07-16 00:00:02,2025-07-16 00:00:02,28666295,778476
2559569,71769011,2025-06-30 00:00:02,2025-07-30 00:00:02,2025-07-30 00:00:02,28666295,778476
2559570,71769012,2025-07-01 00:00:02,2025-07-31 00:00:02,2025-07-31 00:00:02,28666295,778476
2559571,71769013,2025-07-02 00:00:02,2025-08-01 00:00:02,2025-08-01 00:00:02,28666295,778476
2559572,71769014,2025-07-03 00:00:02,2025-08-02 00:00:02,2025-08-02 00:00:02,28666295,778476
2559573,71769015,2025-07-04 00:00:02,2025-08-03 00:00:02,2025-08-03 00:00:02,28666295,778476
2559574,71769016,2025-07-05 00:00:02,2025-08-04 00:00:02,2025-08-04 00:00:02,28666295,778476
2559575,71769017,2025-07-06 00:00:02,2025-08-05 00:00:02,2025-08-05 00:00:02,28666295,778476
2559576,71769018,2025-07-07 00:00:02,2025-08-06 00:00:02,2025-08-06 00:00:02,28666295,778476
2559577,71769019,2025-07-08 00:00:02,2025-08-07 00:00:02,2025-08-07 00:00:02,28666295,778476
2559578,71769020,2025-07-09 00:00:02,2025-08-08 00:00:02,2025-08-08 00:00:02,28666295,778476
2559579,71769021,2025-07-10 00:00:02,2025-08-09 00:00:02,2025-08-09 00:00:02,28666295,778476
2559580,71769022,2025-07-11 00:00:02,2025-08-10 00:00:02,2025-08-10 00:00:02,28666295,778476
2558909,71768351,2025-07-02 00:00:02,2025-07-22 00:00:02,2025-07-22 00:00:02,28666283,778479
